iso-datetime,DAYTIME,CLOUDINESS,GHI,DAYTIME_4,DAYTIME_12,DAYTIME_24,CLEARSKY_GHI_24,CLEARSKY_GHI_12,CLEARSKY_GHI_4,CLEARSKY_GHI_0,CLEARSKY_GHI_-4,CLEARSKY_GHI_-12,CLEARSKY_GHI_-24,AZIMUTH_24,AZIMUTH_12,AZIMUTH_4,AZIMUTH_0,AZIMUTH_-4,AZIMUTH_-12,AZIMUTH_-24,LAT,LONG,ALT,GHI_4,GHI_12,GHI_24,station,MASK,MASK_4,MASK_12,MASK_24
2010-04-15 00:15:00,1.0,variable,22.113333333336048,0.0,0.0,0.0,877.3589311137341,561.2123382714865,160.7794313993475,4.924146225541556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,-4.906666666663961,-5.119999999997285,-4.61999999999729,BND,1,0,0,0
2010-04-15 00:30:00,1.0,cloudy,4.013333333336043,0.0,0.0,0.0,870.0973079113759,515.8343560454804,111.11455576898769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,-4.999999999997288,-4.906666666663954,-4.8799999999972945,BND,1,0,0,0
2010-04-15 11:30:00,1.0,cloudy,4.5933333333360356,1.0,1.0,1.0,0.0,0.0,0.0,3.6234096108941016,155.3916760288235,557.212612500575,879.6204300036302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,131.59333333333603,524.0266666666693,889.0666666666697,BND,1,1,1,1
2010-04-15 11:45:00,1.0,variable,23.613333333336033,1.0,1.0,1.0,0.0,0.0,0.0,24.47730769772157,206.92685913356922,600.7008166851825,883.7170264538764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,177.50666666666933,566.7142857142887,838.1733333333364,BND,1,1,1,1
2010-04-15 12:00:00,1.0,slightly cloudy,54.360000000002714,1.0,1.0,1.0,0.0,0.0,0.0,60.955606817745306,259.30830013287556,641.7242633301158,884.0061117439602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,224.9666666666694,619.0933333333364,870.3400000000031,BND,1,1,1,1
2010-04-15 12:15:00,1.0,clear,91.113333333336,1.0,1.0,1.0,0.0,0.0,0.0,105.99061557128775,311.7087096324066,680.076251126657,880.4866697300617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,275.1866666666694,660.2466666666699,933.8333333333363,BND,1,1,1,1
2010-04-15 12:30:00,1.0,clear,131.59333333333603,1.0,1.0,1.0,0.0,0.0,3.6234096108941016,155.3916760288235,363.54093000698356,715.5686276088535,873.1749568578199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,323.7466666666694,699.6866666666699,896.6133333333364,BND,1,1,1,1
2010-04-15 12:45:00,1.0,clear,177.50666666666933,1.0,1.0,1.0,0.0,0.0,24.47730769772157,206.92685913356922,414.3527397334139,748.0307572355297,862.1044679103878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,376.70666666666943,737.9933333333364,926.0600000000027,BND,1,1,1,1
2010-04-15 13:00:00,1.0,clear,224.9666666666694,1.0,1.0,1.0,0.0,0.0,60.955606817745306,259.30830013287556,463.77367490007936,777.3089886296691,847.3258633348318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,425.713333333336,770.4200000000033,902.0333333333365,BND,1,1,1,1
2010-04-15 13:15:00,1.0,clear,275.1866666666694,1.0,1.0,1.0,0.0,0.0,105.99061557128775,311.7087096324066,511.4867212608218,803.2664068120716,828.9068692591742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.05192,-88.37309,230,476.1533333333361,804.3333333333363,899.4666666666695,BND,1,1,1,1
