model,scoring,params,param_clf__class_weight,param_clf__max_depth,param_clf__min_samples_split,param_clf__n_estimators,accuracy_test,precision_test,recall_test,fbeta_score_test,rank_test_accuracy,mean_test_accuracy,mean_train_accuracy,std_test_accuracy,std_train_accuracy,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy
RF,accuracy,"{'clf__class_weight': None, 'clf__max_depth': 30, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",,30,2,200,0.7966163032660816,0.44871794871794873,0.03136200716845878,0.058626465661641536,1,0.8006469249215439,0.8849990432871206,0.0026964049546141173,0.0006212219427764366,58.211906592051186,0.03397816692290015,4.01519775390625,0.14675112493014675,0.8027074709913823,0.7968378910225962,0.8023954127506532,0.8856939284441956,0.8851171391249767,0.8841860622921898
RF,accuracy,"{'clf__class_weight': None, 'clf__max_depth': 30, 'clf__min_samples_split': 3, 'clf__n_estimators': 200}",,30,3,200,0.7966163032660816,0.44871794871794873,0.03136200716845878,0.058626465661641536,5,0.8004320408993433,0.8633299791871037,0.00199076923615057,0.000690470868658064,58.05954170227051,0.048391898296449916,3.8931305408477783,0.05036239737548353,0.8017574811698446,0.7976182398045735,0.8019204017236115,0.8625884268919538,0.8642509372826437,0.8631505733867137
RF,accuracy,"{'clf__class_weight': None, 'clf__max_depth': 30, 'clf__min_samples_split': 4, 'clf__n_estimators': 200}",,30,4,200,0.7966163032660816,0.44871794871794873,0.03136200716845878,0.058626465661641536,2,0.8005564374213799,0.851997827569409,0.002077837814647651,0.000534287342751933,54.040109713872276,0.05462121075982626,3.6778128941853843,0.1773309216094698,0.8026396145755581,0.7977200244283097,0.8013096732602721,0.8512731776002171,0.8525455069808472,0.8521747981271629
RF,accuracy,"{'clf__class_weight': None, 'clf__max_depth': 30, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",,30,5,200,0.7966163032660816,0.44871794871794873,0.03136200716845878,0.058626465661641536,6,0.8002284628262929,0.8434704404214911,0.0019778804649021593,0.0008066496655881597,53.89017804463705,0.11064800199936134,3.760979652404785,0.31041656857745065,0.8020628350410531,0.7974825269729253,0.8011400264649001,0.842349907544065,0.8442159906356558,0.8438454230847526
RF,accuracy,"{'clf__class_weight': None, 'clf__max_depth': 30, 'clf__min_samples_split': 6, 'clf__n_estimators': 200}",,30,6,200,0.7966163032660816,0.44871794871794873,0.03136200716845878,0.058626465661641536,3,0.8005338220695922,0.8382737124484151,0.0016553499971748997,0.0011472151205053913,57.91499733924866,0.08536806443311079,3.4806630611419678,0.363766119283899,0.8017914093777566,0.7981950193390785,0.8016150374919417,0.836802551444518,0.8396016760819041,0.8384169098188233
RF,accuracy,"{'clf__class_weight': None, 'clf__max_depth': 30, 'clf__min_samples_split': 7, 'clf__n_estimators': 200}",,30,7,200,0.7966163032660816,0.44871794871794873,0.03136200716845878,0.058626465661641536,4,0.8004433456973311,0.8327433483680374,0.0017135281330097622,0.0011849240551206725,57.36628643671671,0.0055968460947290145,3.8874243100484214,0.13987047935749217,0.8017914093777566,0.7980253782995183,0.8015132494147186,0.8310685870358119,0.8336302101888137,0.833531247879487
RF,accuracy,"{'clf__class_weight': None, 'clf__max_depth': 30, 'clf__min_samples_split': 8, 'clf__n_estimators': 200}",,30,8,200,0.7966163032660816,0.44871794871794873,0.03136200716845878,0.058626465661641536,7,0.8001153661138738,0.8294239993632614,0.0015443114831663381,0.0008516085469919907,29.049050490061443,0.2122605952971775,2.3424076239267984,0.007692997487576397,0.8014860555065482,0.7979575218836941,0.8009025209513793,0.8284560707075848,0.8292873259029298,0.8305286014792699
