model,scoring,params,param_clf__class_weight,param_clf__max_depth,param_clf__min_samples_split,param_clf__n_estimators,accuracy_test,precision_test,recall_test,fbeta_score_test,rank_test_accuracy,mean_test_accuracy,mean_train_accuracy,std_test_accuracy,std_train_accuracy,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy
RF,accuracy,"{'clf__class_weight': None, 'clf__max_depth': 30, 'clf__min_samples_split': 2, 'clf__n_estimators': 200}",,30,2,200,0.81,1.0,0.02564102564102564,0.05,1,0.800015076134479,1.0,0.006455508537918495,0.0,0.6293630599975586,0.0006796648689200021,0.17522788047790527,0.004101333712750321,0.7910447761194029,0.8059701492537313,0.803030303030303,1.0,1.0,1.0
RF,accuracy,"{'clf__class_weight': None, 'clf__max_depth': 30, 'clf__min_samples_split': 3, 'clf__n_estimators': 200}",,30,3,200,0.81,1.0,0.02564102564102564,0.05,1,0.800015076134479,1.0,0.006455508537918495,0.0,0.6729355653127035,0.07492690922112413,0.173169215520223,0.006490186121484099,0.7910447761194029,0.8059701492537313,0.803030303030303,1.0,1.0,1.0
RF,accuracy,"{'clf__class_weight': None, 'clf__max_depth': 30, 'clf__min_samples_split': 4, 'clf__n_estimators': 200}",,30,4,200,0.81,1.0,0.02564102564102564,0.05,1,0.800015076134479,0.9825309542512999,0.006455508537918495,0.009277677794144953,0.5800503094991049,0.007045521089756465,0.1502989927927653,0.0006319600750942592,0.7910447761194029,0.8059701492537313,0.803030303030303,0.9924812030075187,0.9849624060150376,0.9701492537313433
RF,accuracy,"{'clf__class_weight': None, 'clf__max_depth': 30, 'clf__min_samples_split': 5, 'clf__n_estimators': 200}",,30,5,200,0.81,1.0,0.02564102564102564,0.05,1,0.800015076134479,0.955036845845958,0.006455508537918495,0.010421579014233285,0.6003548304239908,0.005069427593527403,0.15546369552612305,0.003245532566120075,0.7910447761194029,0.8059701492537313,0.803030303030303,0.9624060150375939,0.9624060150375939,0.9402985074626866
RF,accuracy,"{'clf__class_weight': None, 'clf__max_depth': 30, 'clf__min_samples_split': 6, 'clf__n_estimators': 200}",,30,6,200,0.81,1.0,0.02564102564102564,0.05,1,0.800015076134479,0.9300864100549883,0.006455508537918495,0.02519968280993687,0.5389359792073568,0.011491577472426892,0.16815638542175293,0.01221800251658603,0.7910447761194029,0.8059701492537313,0.803030303030303,0.9548872180451128,0.9398496240601504,0.8955223880597015
RF,accuracy,"{'clf__class_weight': None, 'clf__max_depth': 30, 'clf__min_samples_split': 7, 'clf__n_estimators': 200}",,30,7,200,0.81,1.0,0.02564102564102564,0.05,1,0.800015076134479,0.9100736916919163,0.006455508537918495,0.02172844776038385,0.5637147426605225,0.003914462127915192,0.15328129132588705,0.00078312192214948,0.7910447761194029,0.8059701492537313,0.803030303030303,0.9323308270676691,0.9172932330827067,0.8805970149253731
RF,accuracy,"{'clf__class_weight': None, 'clf__max_depth': 30, 'clf__min_samples_split': 8, 'clf__n_estimators': 200}",,30,8,200,0.81,1.0,0.02564102564102564,0.05,1,0.800015076134479,0.8950548011820597,0.006455508537918495,0.015801127041436387,0.4166254202524821,0.006483922958810696,0.15733917554219565,0.0006558243012183212,0.7910447761194029,0.8059701492537313,0.803030303030303,0.9097744360902256,0.9022556390977443,0.8731343283582089
