model,scoring,params,param_clf__alpha,accuracy_test,precision_test,recall_test,fbeta_score_test,rank_test_accuracy,mean_test_accuracy,mean_train_accuracy,std_test_accuracy,std_train_accuracy,mean_fit_time,std_fit_time,mean_score_time,std_score_time,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy
NB,accuracy,{'clf__alpha': 0.1},0.1,0.6859676106034561,0.32490107405313734,0.5150089605734767,0.39844020797227037,13,0.687924813777407,0.6888521919522655,0.0018147298623892424,0.0005178221490955197,4.437880992889404,0.09300039354403815,2.2328262329101562,0.0913844220573051,0.6901676053470855,0.685723010110606,0.6878838258745292,0.6887712691061462,0.6882623373538942,0.6895229693967565
NB,accuracy,{'clf__alpha': 0.5},0.5,0.6859676106034561,0.32490107405313734,0.5150089605734767,0.39844020797227037,12,0.6881396924275167,0.6888295729551338,0.0015343291103666855,0.0005050285262832563,4.370407263437907,0.054901429464549345,2.1544901529947915,0.02399562680074381,0.6901336771391735,0.6864015742688471,0.6878838258745292,0.6887373403226628,0.6882623373538942,0.6894890411888444
NB,accuracy,{'clf__alpha': 1},1,0.6859676106034561,0.32490107405313734,0.5150089605734767,0.39844020797227037,8,0.6882301672648946,0.6888182636484249,0.0013973771212969402,0.00047128232987383447,4.557765563329061,0.044236092221228936,2.2634634176890054,0.0367838302992858,0.6900997489312615,0.6867408563479677,0.6878498965154548,0.688720375930921,0.6882962661373776,0.6894381488769763
NB,accuracy,{'clf__alpha': 1.5},1.5,0.6859676106034561,0.32490107405313734,0.5150089605734767,0.39844020797227037,6,0.6882414766675321,0.6888126088511778,0.0013582315282942875,0.00048296459358961524,4.582950671513875,0.07422899219145615,2.3189146518707275,0.04314673888622647,0.6900658207233494,0.6868087127637919,0.6878498965154548,0.6887373403226628,0.6882623373538942,0.6894381488769763
NB,accuracy,{'clf__alpha': 2},2,0.6859676106034561,0.32490107405313734,0.5150089605734767,0.39844020797227037,5,0.6882527868376109,0.68877868035548,0.0013370132284603728,0.0004588638558780912,4.521149635314941,0.06943226595969317,2.3527647654215493,0.03487787941453675,0.6900318925154373,0.6868087127637919,0.6879177552336037,0.6886694827556958,0.6882793017456359,0.6893872565651082
NB,accuracy,{'clf__alpha': 2.25},2.25,0.6859676106034561,0.32490107405313734,0.5150089605734767,0.39844020797227037,2,0.6882980248318811,0.6887447517638536,0.0013520729112543612,0.00046385441805102336,4.568676710128784,0.0604479278872575,2.457122325897217,0.09701580206489048,0.6900997489312615,0.6868426409717039,0.6879516845926781,0.688652518363954,0.6882284085704107,0.6893533283571962
NB,accuracy,{'clf__alpha': 2.5},2.5,0.6859676106034561,0.32490107405313734,0.5150089605734767,0.39844020797227037,4,0.6882640970076898,0.68870516837498,0.0014264726407347728,0.0004650464843974147,4.604837973912557,0.011161278857831249,2.349923292795817,0.05501362158466261,0.6901336771391735,0.6866729999321436,0.6879856139517525,0.6886016251887288,0.6881944797869273,0.6893194001492842
NB,accuracy,{'clf__alpha': 2.75},2.75,0.6859676106034561,0.32490107405313734,0.5150089605734767,0.39844020797227037,3,0.6882867158129645,0.6886768946765295,0.0014013814561421598,0.0004452169958928202,4.7401143709818525,0.06489847227000739,2.481696128845215,0.05574927802935328,0.6901336771391735,0.6867408563479677,0.6879856139517525,0.6885676964052454,0.6881944797869273,0.689268507837416
NB,accuracy,{'clf__alpha': 3},3,0.6859676106034561,0.32490107405313734,0.5150089605734767,0.39844020797227037,1,0.688298025215602,0.6886825492819196,0.0013889421501899319,0.00046637252973673386,4.720056374867757,0.01605471119362443,2.3304110368092856,0.043749733387473885,0.6901336771391735,0.6867747845558798,0.6879856139517525,0.6885676964052454,0.6881775153951855,0.689302436045328
NB,accuracy,{'clf__alpha': 3.25},3.25,0.6859676106034561,0.32490107405313734,0.5150089605734767,0.39844020797227037,7,0.6882301687997777,0.6886938587804856,0.0014371086845479998,0.0004725239659607171,4.783607562383016,0.07259036311713571,2.4305737813313804,0.061649377200913444,0.6900997489312615,0.6866051435163195,0.6879856139517525,0.6885846607969871,0.6881775153951855,0.6893194001492842
NB,accuracy,{'clf__alpha': 3.5},3.5,0.6859676106034561,0.32490107405313734,0.5150089605734767,0.39844020797227037,9,0.6882188593971404,0.688682549185991,0.0014224097537066625,0.0004800181987088473,4.6360626220703125,0.029697745080232964,2.326664606730143,0.017514841846287054,0.6900658207233494,0.6866051435163195,0.6879856139517525,0.6885676964052454,0.6881605510034438,0.6893194001492842
NB,accuracy,{'clf__alpha': 4},4,0.6859676106034561,0.32490107405313734,0.5150089605734767,0.39844020797227037,10,0.6882075496107823,0.6886938585886284,0.0014518350600808802,0.0004950536174955589,4.76175061861674,0.06135291335234488,2.462306578954061,0.048636329748919495,0.6900997489312615,0.6865712153084074,0.6879516845926781,0.6885676964052454,0.6881605510034438,0.6893533283571962
NB,accuracy,{'clf__alpha': 5},5,0.6859676106034561,0.32490107405313734,0.5150089605734767,0.39844020797227037,11,0.6881849311892284,0.688648620786222,0.0014887574603782245,0.00044418321879618463,3.5394572416941323,0.06424371049260834,1.5186207294464111,0.018725848408994376,0.6900997489312615,0.6864694306846713,0.6879856139517525,0.6884998388382785,0.6881944797869273,0.68925154373346
